Date (MM/DD/YYYY),Entity Name,Latitude,Longitude,City,State,Sector,Demand,Currency,Demand in USD,Paid,Amount Paid
07/02/2021,Kaseya VSA,25.7617,-80.1918,Miami,FL,Technology/IT Services,"$70,000,000",Bitcoin,"$70,000,000",False,null
07/04/2021,Famous Smoke Shop,40.6884,-75.2207,Easton,PA,Retail,Unknown,Unknown,Unknown,False,null
07/04/2021,Morgan County Schools,36.1343,-84.7963,Wartburg,TN,Education,Unknown,Unknown,Unknown,False,null
07/12/2021,DuPage Medical Group,41.8120,-88.1070,Downers Grove,IL,Healthcare,Unknown,Unknown,Unknown,False,null
07/17/2021,Directions for Living,27.9659,-82.7951,Clearwater,FL,Healthcare/Behavioral Health,Unknown,Unknown,Unknown,False,null
07/19/2021,Revere Health,40.2338,-111.6585,Provo,UT,Healthcare,Unknown,Unknown,Unknown,False,null
07/26/2021,Memorial Health System,38.9048,-82.0021,Marietta,OH,Healthcare,Unknown,Unknown,Unknown,False,null
08/04/2021,Eskenazi Health,39.7684,-86.1581,Indianapolis,IN,Healthcare,Unknown,Unknown,Unknown,False,null
08/04/2021,Sanford Health,43.5460,-96.7313,Sioux Falls,SD,Healthcare,Unknown,Unknown,Unknown,False,null
08/15/2021,Accenture,40.7128,-74.0060,New York,NY,Technology/Consulting,"$50,000,000",Unknown,"$50,000,000",False,null
08/21/2021,Invenergy LLC,41.8827,-87.6233,Chicago,IL,Energy/Renewable,Unknown,Unknown,Unknown,False,null
08/28/2021,Marymount Manhattan College,40.7736,-73.9566,New York,NY,Education,Unknown,Unknown,Unknown,False,null
09/01/2021,Howard University,38.9218,-77.0177,Washington,DC,Education,Unknown,Unknown,Unknown,False,null
09/09/2021,NEW Cooperative Inc.,42.4975,-94.1680,Fort Dodge,IA,Agriculture,"$5,900,000",Unknown,"$5,900,000",False,null
09/12/2021,TTEC Holdings,39.6469,-104.9876,Englewood,CO,Technology/Customer Service,Unknown,Unknown,Unknown,Unknown,Unknown
09/12/2021,Crystal Valley Cooperative,44.1636,-93.9994,Mankato,MN,Agriculture,Unknown,Unknown,Unknown,False,null
09/17/2021,Pottawatomie County Government,39.3942,-96.3453,Westmoreland,KS,Government,Unknown,Unknown,Unknown,True,Unknown
09/20/2021,Sandhills Publishing,41.4292,-97.3687,Columbus,NE,Media/Publishing,Unknown,Unknown,Unknown,False,null
09/23/2021,Medsurant Health,40.8459,-74.4201,Parsippany,NJ,Healthcare,Unknown,Unknown,Unknown,False,null
10/10/2021,Olympus Americas,40.5185,-75.3766,Center Valley,PA,Technology/Medical Devices,Unknown,Unknown,Unknown,False,null
10/15/2021,Broward Health,26.1224,-80.1373,Fort Lauderdale,FL,Healthcare,Unknown,Unknown,Unknown,False,null
10/16/2021,Sinclair Broadcast Group,39.4903,-76.6063,Hunt Valley,MD,Media/Broadcasting,Unknown,Unknown,Unknown,Unknown,Unknown
10/21/2021,Bandwidth Inc.,35.7796,-78.6382,Raleigh,NC,Technology/Telecommunications,Unknown,Unknown,Unknown,False,null
10/22/2021,Marketron,43.6150,-116.2023,Boise,ID,Technology/Media Services,Unknown,Unknown,Unknown,False,null
10/25/2021,Align Technology,33.4255,-111.9400,Tempe,AZ,Healthcare/Medical Devices,Unknown,Unknown,Unknown,False,null
11/15/2021,Planned Parenthood Los Angeles,34.0522,-118.2437,Los Angeles,CA,Healthcare,Unknown,Unknown,Unknown,False,null
12/11/2021,Ultimate Kronos Group (UKG),42.3667,-71.3023,Weston,MA,Technology/HR Software,Unknown,Unknown,Unknown,Unknown,Unknown
12/18/2021,Shutterfly,37.4770,-122.2040,Redwood City,CA,Technology/Media,Unknown,Unknown,Unknown,Unknown,Unknown
